experiment_id,dataset,model_name,training_strategy,head_type,learning_rate,batch_size,weight_decay,epochs,frozen_epochs,patience,seed,top1_accuracy,top5_accuracy,test_loss,best_val_loss,best_val_top1,best_val_top5,best_val_epoch,epochs_run,best_epoch,stopped_early,num_parameters,trainable_parameters,average_time_per_epoch,total_training_time,throughput_samples_per_sec,peak_gpu_mem_mb,generalization_gap
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,42,82.25,99.07,0.5185132313728332,0.4946265146255493,83.2,99.06,20,20,20,False,141354,141354,25.483670865000384,916.8611071999984,981.6099657106292,191.7314453125,-4.591111111111118
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed999,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,2,999,85.09,99.28,0.455194890499115,0.4568840933799744,84.98,99.32,11,13,11,True,11181642,11181642,49.38007293076897,911.6874174999977,641.6672960170602,1487.7919921875,1.12222222222222
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,123,80.86,99.03,0.5604710344314575,0.5735935079813004,81.16,98.96,19,20,19,False,141354,141354,27.18906900499969,977.3445797999992,920.8625275071082,191.7314453125,-2.739999999999995
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,80.91,99.02,0.5559629416465759,0.5542420595169067,81.32,98.7,19,20,19,False,141354,141354,26.96751511000057,974.7341491000006,923.3286848839708,191.7314453125,-2.73333333333332
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,85.45,99.38,0.4686895405769348,0.4410394222259521,86.42,99.22,19,20,19,False,11181642,11181642,49.06867320500096,1410.4083542000008,638.1130665597127,1485.9169921875,3.280000000000001
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,123,85.56,99.39,0.4538941978931427,0.4475649996995925,86.14,99.26,19,20,19,False,11181642,11181642,49.09292519999944,1406.947473100001,639.6827296025366,1485.9169921875,3.4511111111111035
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,7,85.35,99.43,0.4715546021461487,0.4507608186781406,86.24,99.44,19,20,19,False,11181642,11181642,49.400936734999775,1417.1548365999988,635.0752767137687,1485.9169921875,3.466666666666669
cifar10_vit_tiny_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,vit_tiny,full_training,linear,0.001,64,0.0001,20,0,5,42,71.36,97.81,0.8245702458381653,0.7873998094558716,72.22,97.88,20,20,20,False,5489482,5489482,37.34631695499847,1176.2210392000052,765.162303687516,150.068359375,1.6177777777777749
cifar10_vit_tiny_full_training_linear_lr0p001_bs64_wd0p0001_seed123,cifar10,vit_tiny,full_training,linear,0.001,64,0.0001,20,0,5,123,69.0,97.71,0.8889028509140015,0.8824268911361695,69.16,97.32,20,20,20,False,5489482,5489482,37.579229399999534,1182.622354500003,761.0206221583795,150.068359375,0.775555555555556
cifar10_vit_tiny_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,vit_tiny,full_training,linear,0.001,64,0.0001,20,0,5,7,67.84,97.48,0.9131697635650636,0.8888729906082153,68.22,97.66,19,20,19,False,5489482,5489482,37.14781374499944,1171.7482965999952,768.0830453191065,150.068359375,0.0511111111111119
cifar100_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar100,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,42,47.29,78.19,1.950412567138672,1.9271203172683715,48.22,78.96,20,20,20,False,152964,152964,26.49782791999969,954.8014836000002,942.604316665517,191.97314453125,-7.737777777777779
cifar100_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar100,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,58.48,84.91,1.7827466478347778,1.7953926216125489,58.86,85.44,20,20,20,False,11227812,11227812,49.2951093350006,1414.5252553000028,636.2558721577025,1486.81787109375,16.659999999999997
cifar100_vit_tiny_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar100,vit_tiny,full_training,linear,0.001,64,0.0001,20,0,5,42,42.49,72.11,2.337934185028076,2.3391454746246336,42.96,72.2,20,20,20,False,5506852,5506852,37.149188135000806,1171.681162300003,768.127054490921,150.419921875,9.58222222222222
cifar10_resnet18_head_only_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,head_only,linear,0.001,64,0.0001,20,0,5,42,41.55,87.88,1.7183157651901244,1.7254512964248658,41.4,86.7,3,8,3,True,11181642,5130,26.09883432499828,377.2332538000046,954.31671617916,146.55517578125,-0.9022222222222211
cifar10_vit_tiny_head_only_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,vit_tiny,head_only,linear,0.001,64,0.0001,20,0,5,42,40.01,88.76,1.682100201797485,1.697988049507141,40.48,87.52,18,20,18,False,5489482,1930,26.99233801000046,968.974337300002,928.8171681695972,79.16259765625,-0.1044444444444394
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.001,64,0.0001,20,3,5,42,80.66,98.97,0.5579899160385132,0.5465465662002563,81.24,99.02,20,20,20,False,11181642,11181642,45.68833643500002,1342.0490408999976,670.616328145838,1486.9169921875,-1.2044444444444338
cifar10_vit_tiny_freeze_then_unfreeze_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,vit_tiny,freeze_then_unfreeze,linear,0.001,64,0.0001,20,3,5,42,79.69,98.88,0.6274663175582885,0.5999419377326966,80.58,98.88,16,20,16,False,5489482,5489482,35.607156654999926,1140.1361055000016,789.37943957604,150.068359375,4.713333333333338
cifar10_resnet18_full_training_one_hidden_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,one_hidden,0.001,64,0.0001,20,0,5,42,85.21,99.35,0.4736734251022338,0.4389255804538727,86.58,99.22,20,20,20,False,11444298,11444298,49.29026388500024,1413.1579201999994,636.8714969043418,1490.9267578125,2.342222222222219
cifar10_resnet18_full_training_two_hidden_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,two_hidden,0.001,64,0.0001,20,0,5,42,85.24,99.16,0.4646643009185791,0.4335182701110839,86.54,98.96,18,20,18,False,11573066,11573066,49.35297030499969,1414.2518811000043,636.378860107989,1493.3828125,1.264444444444436
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p0001_bs64_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.0001,64,0.0001,20,3,5,42,60.36,95.32,1.1541293615341186,1.1463805276870729,61.14,95.5,20,20,20,False,11181642,11181642,46.02282754500011,1348.1550632999931,667.578993322173,1487.7919921875,-2.5288888888888863
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p0001_bs128_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.0001,128,0.0001,20,3,5,42,56.61,94.59,1.240116347503662,1.2364162984848022,57.9,94.66,20,20,20,False,11181642,11181642,39.26391687999931,1210.548398299994,743.4646985315866,1565.544921875,-1.8822222249348928
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p0003_bs64_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.0003,64,0.0001,20,3,5,42,72.09,98.0,0.8094789622306824,0.7984218688964844,72.22,98.0,20,20,20,False,11181642,11181642,45.67472429999907,1339.6490782999972,671.8177279247577,1486.0419921875,-2.128888888888895
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p0003_bs128_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.0003,128,0.0001,20,3,5,42,69.55,97.67,0.8766867718696594,0.8650653959274291,70.32,97.46,20,20,20,False,11181642,11181642,39.22880399500027,1209.6131268000026,744.0395445946627,1565.544921875,-2.206666665310322
cifar10_resnet18_freeze_then_unfreeze_linear_lr0p001_bs128_wd0p0001_seed42,cifar10,resnet18,freeze_then_unfreeze,linear,0.001,128,0.0001,20,3,5,42,79.43,98.77,0.6027861276626587,0.5854154892921448,80.1,98.74,20,20,20,False,11181642,11181642,39.278194045000056,1210.3111675000036,743.6104236392558,1565.544921875,-1.1622222276475611
